user_id,date,total_streams,skips,liked_songs,session_duration_min,is_premium
U1,2025-06-01,125,25,50,45,1
U2,2025-06-02,150,35,60,60,1
U3,2025-06-03,80,15,30,25,0
U4,2025-06-04,200,40,75,90,1
U5,2025-06-05,180,30,65,85,1
U6,2025-06-06,90,10,25,30,0
U7,2025-06-07,145,28,58,55,1
U8,2025-06-08,170,36,66,75,1
U9,2025-06-09,210,42,70,95,1
U10,2025-06-10,130,20,45,50,0
U11,2025-06-11,160,32,55,70,1
U12,2025-06-12,175,34,68,80,1
U13,2025-06-13,155,29,54,65,1
U14,2025-06-14,140,27,48,60,1
U15,2025-06-15,135,24,47,58,0
U16,2025-06-16,185,33,64,78,1
U17,2025-06-17,195,38,71,92,1
U18,2025-06-18,120,18,33,40,0
U19,2025-06-19,110,12,31,35,0
U20,2025-06-20,100,14,29,33,0
